query,K,highlight_precision,highlight_recall,highlight_f1,avg_quality,n_evaluated
true crime investigations and criminal psychology,50,0.959184,1.0,0.979167,2.56,50
social media addiction and its effects on teenagers,10,0.1,0.111111,0.105263,0.9,50
social media addiction and its effects on teenagers,20,0.1,0.222222,0.137931,0.8,50
social media addiction and its effects on teenagers,30,0.233333,0.777778,0.358974,0.966667,50
social media addiction and its effects on teenagers,40,0.175,0.777778,0.285714,0.8,50
social media addiction and its effects on teenagers,50,0.18,1.0,0.305085,0.8,50
diversity and inclusion in the workplace,10,1.0,0.2,0.333333,3.0,50
diversity and inclusion in the workplace,20,1.0,0.4,0.571429,2.9,50
diversity and inclusion in the workplace,30,1.0,0.6,0.75,2.833333,50
diversity and inclusion in the workplace,40,1.0,0.8,0.888889,2.85,50
diversity and inclusion in the workplace,50,1.0,1.0,1.0,2.84,50
cancel culture and free speech debate,10,0.3,0.214286,0.25,1.1,50
cancel culture and free speech debate,20,0.4,0.571429,0.470588,1.35,50
cancel culture and free speech debate,30,0.344828,0.714286,0.465116,1.166667,50
cancel culture and free speech debate,40,0.333333,0.928571,0.490566,1.15,50
cancel culture and free speech debate,50,0.297872,1.0,0.459016,1.0,50
parenting advice and raising children,10,1.0,0.212766,0.350877,3.0,50
parenting advice and raising children,20,0.95,0.404255,0.567164,2.85,50
parenting advice and raising children,30,0.966667,0.617021,0.753247,2.8,50
parenting advice and raising children,40,0.975,0.829787,0.896552,2.8,50
parenting advice and raising children,50,0.94,1.0,0.969072,2.7,50
feminism and gender equality in 2020,10,0.4,0.235294,0.296296,1.5,50
feminism and gender equality in 2020,20,0.55,0.647059,0.594595,1.6,50
feminism and gender equality in 2020,30,0.466667,0.823529,0.595745,1.366667,50
feminism and gender equality in 2020,40,0.384615,0.882353,0.535714,1.225,50
feminism and gender equality in 2020,50,0.346939,1.0,0.515152,1.12,50
religion spirituality and finding meaning in life,10,0.8,0.177778,0.290909,2.5,50
religion spirituality and finding meaning in life,20,0.85,0.377778,0.523077,2.45,50
religion spirituality and finding meaning in life,30,0.9,0.6,0.72,2.5,50
religion spirituality and finding meaning in life,40,0.9,0.8,0.847059,2.475,50
religion spirituality and finding meaning in life,50,0.9,1.0,0.947368,2.5,50
loneliness epidemic and the decline of community,10,1.0,0.238095,0.384615,2.9,50
loneliness epidemic and the decline of community,20,0.95,0.452381,0.612903,2.75,50
loneliness epidemic and the decline of community,30,0.933333,0.666667,0.777778,2.666667,50
loneliness epidemic and the decline of community,40,0.875,0.833333,0.853659,2.575,50
loneliness epidemic and the decline of community,50,0.857143,1.0,0.923077,2.44,50
true history of slavery and its lasting legacy,10,0.8,0.32,0.457143,2.1,50
true history of slavery and its lasting legacy,20,0.555556,0.4,0.465116,1.5,50
true history of slavery and its lasting legacy,30,0.535714,0.6,0.566038,1.5,50
true history of slavery and its lasting legacy,40,0.527778,0.76,0.622951,1.45,50
true history of slavery and its lasting legacy,50,0.555556,1.0,0.714286,1.48,50
generational differences between millennials and Gen Z,10,1.0,0.204082,0.338983,2.9,50
generational differences between millennials and Gen Z,20,1.0,0.408163,0.57971,2.95,50
generational differences between millennials and Gen Z,30,1.0,0.612245,0.759494,2.866667,50
generational differences between millennials and Gen Z,40,1.0,0.816327,0.898876,2.85,50
generational differences between millennials and Gen Z,50,1.0,1.0,1.0,2.8,50
NBA bubble season and LeBron James,10,1.0,0.2,0.333333,2.9,50
NBA bubble season and LeBron James,20,1.0,0.4,0.571429,2.9,50
NBA bubble season and LeBron James,30,1.0,0.6,0.75,2.833333,50
NBA bubble season and LeBron James,40,1.0,0.8,0.888889,2.8,50
NBA bubble season and LeBron James,50,1.0,1.0,1.0,2.8,50
history of hip hop and rap music evolution,10,0.9,0.195652,0.321429,2.3,50
history of hip hop and rap music evolution,20,0.95,0.413043,0.575758,2.6,50
history of hip hop and rap music evolution,30,0.933333,0.608696,0.736842,2.633333,50
history of hip hop and rap music evolution,40,0.925,0.804348,0.860465,2.5,50
history of hip hop and rap music evolution,50,0.92,1.0,0.958333,2.5,50
Tour de France cycling and doping controversies,10,1.0,0.208333,0.344828,2.8,50
Tour de France cycling and doping controversies,20,1.0,0.416667,0.588235,2.65,50
Tour de France cycling and doping controversies,30,1.0,0.625,0.769231,2.6,50
Tour de France cycling and doping controversies,40,0.975,0.8125,0.886364,2.525,50
Tour de France cycling and doping controversies,50,0.96,1.0,0.979592,2.52,50
NFL quarterback rivalries and Super Bowl predictions,10,1.0,0.208333,0.344828,2.7,50
NFL quarterback rivalries and Super Bowl predictions,20,1.0,0.416667,0.588235,2.8,50
NFL quarterback rivalries and Super Bowl predictions,30,1.0,0.583333,0.736842,2.566667,50
NFL quarterback rivalries and Super Bowl predictions,40,1.0,0.791667,0.883721,2.575,50
NFL quarterback rivalries and Super Bowl predictions,50,1.0,1.0,1.0,2.6,50
Olympics postponement and athlete mental health,10,0.9,0.209302,0.339623,2.3,50
Olympics postponement and athlete mental health,20,0.894737,0.395349,0.548387,2.2,50
Olympics postponement and athlete mental health,30,0.896552,0.604651,0.722222,2.266667,50
Olympics postponement and athlete mental health,40,0.897436,0.813953,0.853659,2.25,50
