query,K,precision,recall,DCG,nDCG
religion spirituality and finding meaning in life,50,0.88,1.0,27.841691,0.931071
loneliness epidemic and the decline of community,10,1.0,0.27027,9.087119,1.0
loneliness epidemic and the decline of community,20,0.95,0.513514,13.852867,0.983831
loneliness epidemic and the decline of community,30,0.8,0.648649,17.046636,0.930333
loneliness epidemic and the decline of community,40,0.75,0.810811,20.134158,0.931347
loneliness epidemic and the decline of community,50,0.74,1.0,23.210279,0.990833
true history of slavery and its lasting legacy,10,0.9,0.264706,9.685745,0.804759
true history of slavery and its lasting legacy,20,0.75,0.441176,13.904957,0.816546
true history of slavery and its lasting legacy,30,0.7,0.617647,17.295023,0.813056
true history of slavery and its lasting legacy,40,0.7,0.823529,20.566813,0.857278
true history of slavery and its lasting legacy,50,0.68,1.0,23.630911,0.922317
generational differences between millennials and Gen Z,10,1.0,0.208333,11.942795,0.87617
generational differences between millennials and Gen Z,20,1.0,0.416667,18.700936,0.885427
generational differences between millennials and Gen Z,30,1.0,0.625,23.76753,0.864754
generational differences between millennials and Gen Z,40,0.975,0.8125,28.797571,0.912944
generational differences between millennials and Gen Z,50,0.96,1.0,33.306458,0.956984
NBA bubble season and LeBron James,10,1.0,0.2,11.221396,0.823246
NBA bubble season and LeBron James,20,1.0,0.4,17.721725,0.839065
NBA bubble season and LeBron James,30,1.0,0.6,22.809163,0.876371
NBA bubble season and LeBron James,40,1.0,0.8,27.440128,0.918168
NBA bubble season and LeBron James,50,1.0,1.0,31.773976,0.948501
history of hip hop and rap music evolution,10,1.0,0.208333,13.630678,1.0
history of hip hop and rap music evolution,20,1.0,0.416667,20.131007,0.953136
history of hip hop and rap music evolution,30,0.966667,0.604167,25.446419,0.925838
history of hip hop and rap music evolution,40,0.975,0.8125,31.046872,0.949174
history of hip hop and rap music evolution,50,0.96,1.0,35.562127,0.988681
Tour de France cycling and doping controversies,10,1.0,0.2,13.630678,1.0
Tour de France cycling and doping controversies,20,1.0,0.4,21.120805,1.0
Tour de France cycling and doping controversies,30,1.0,0.6,27.484743,1.0
Tour de France cycling and doping controversies,40,1.0,0.8,33.273098,1.0
Tour de France cycling and doping controversies,50,1.0,1.0,38.15053,0.999709
NFL quarterback rivalries and Super Bowl predictions,10,1.0,0.238095,12.021143,0.881918
NFL quarterback rivalries and Super Bowl predictions,20,0.95,0.452381,17.826842,0.844042
NFL quarterback rivalries and Super Bowl predictions,30,0.866667,0.619048,22.27651,0.828947
NFL quarterback rivalries and Super Bowl predictions,40,0.875,0.833333,27.096056,0.881684
NFL quarterback rivalries and Super Bowl predictions,50,0.84,1.0,31.080188,0.954694
Olympics postponement and athlete mental health,10,1.0,0.232558,11.852412,0.869539
Olympics postponement and athlete mental health,20,0.85,0.395349,17.075591,0.835959
Olympics postponement and athlete mental health,30,0.9,0.627907,21.949712,0.88977
Olympics postponement and athlete mental health,40,0.875,0.813953,26.002377,0.911473
Olympics postponement and athlete mental health,50,0.86,1.0,29.442505,0.95869
Netflix binge watching and the streaming wars,10,1.0,0.227273,11.551382,0.847455
Netflix binge watching and the streaming wars,20,0.9,0.409091,17.339154,0.820951
Netflix binge watching and the streaming wars,30,0.9,0.613636,22.63083,0.876867
Netflix binge watching and the streaming wars,40,0.9,0.818182,26.884231,0.90618
Netflix binge watching and the streaming wars,50,0.88,1.0,30.856296,0.957992
esports gaming industry growth and professional players,10,1.0,0.27027,11.956941,0.877208
esports gaming industry growth and professional players,20,0.85,0.459459,17.411572,0.833363
esports gaming industry growth and professional players,30,0.8,0.648649,21.443933,0.853125
esports gaming industry growth and professional players,40,0.75,0.810811,25.307005,0.890123
esports gaming industry growth and professional players,50,0.74,1.0,28.738059,0.950408
Hollywood diversity Oscars so white debate,10,1.0,0.212766,13.630678,1.0
Hollywood diversity Oscars so white debate,20,1.0,0.425532,20.622747,0.976419
Hollywood diversity Oscars so white debate,30,1.0,0.638298,26.78289,0.974464
Hollywood diversity Oscars so white debate,40,0.925,0.787234,30.44284,0.953172
Hollywood diversity Oscars so white debate,50,0.94,1.0,34.784357,0.993264
stand up comedy and the art of the punchline,10,1.0,0.227273,12.12733,0.889709
stand up comedy and the art of the punchline,20,0.9,0.409091,17.89887,0.847452
stand up comedy and the art of the punchline,30,0.9,0.613636,23.400757,0.851409
stand up comedy and the art of the punchline,40,0.9,0.818182,28.41781,0.895278
stand up comedy and the art of the punchline,50,0.88,1.0,32.935333,0.960674
football soccer tactics and Premier League analysis,10,0.5,0.2,8.0013,0.587007
football soccer tactics and Premier League analysis,20,0.5,0.4,12.039875,0.570048
football soccer tactics and Premier League analysis,30,0.5,0.6,15.871057,0.646272
football soccer tactics and Premier League analysis,40,0.5,0.8,19.154992,0.728308
football soccer tactics and Premier League analysis,50,0.5,1.0,22.046869,0.838263
